CODIGO INMUEBLE;ESTADO;NOMBRE SEDE;DIRECCIÓN SEDE;TELÉFONO FIJO;TELÉFONO MÓVIL;POBLACIÓN;PROVINCIA;ACTIVIDAD;AMBITO;ÁREA;"ENLACE PRAL
AMT 2012";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2012";"ADM
BACKUP";BW BACKUP;"ENLACE PRAL
AMT 2018";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2018";"ADM
BACKUP";BW BACKUP;MIGRACIÓN;CODIGO HOSTNAME;AMBITO;NEMONICO;CRITICIDAD SERVICIO;DISP.;CARPETA;MON.;DOC.;ESQ.
35;ALTA;Plaza de la Seo 15, Bajo;Plaza de la Seo 15, bajo;0;0;Tarazona;Zaragoza;Plaza de la Seo 15, Bajo;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-TAR0035-;-;-;;;;mon;doc;esq
36;ALTA;Plaza San Miguel 23, Bajo;Plaza San Miguel 23, bajo;640752;0;Tarazona;Zaragoza;Plaza San Miguel 23, Bajo;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-TAR0036-;-;-;;;;mon;doc;esq
37;ALTA;Avenida de Navarra 52, 1(Antiguo);Avda. de Navarra 52, 1;642656;0;Tarazona;Zaragoza;Avenida de Navarra 52, 1(Antiguo);ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-TAR0037-;-;-;;;;mon;doc;esq
38;ALTA;Oficina Delegada Tarazona;Avda. de la Paz 29, Entresuelo-Izda;976199204;0;Tarazona;Zaragoza;Oficina Delegada;ADMINISTRACIÓN;ZARAGOZA;SDWAN;876545998 ;FTTH - TIPO H3 - Igual o mayor a 30Mbps asimétrico;;;;;;;;;;;ZATAR0038OFD;A;OFD;ES. REMOTO;12X5;"""ZATAR0038 - Oficina Delegada [Tarazona]""";mon;doc;esq
39;ALTA;Plaza de la Villa 1, 3;Plaza de la Villa 1, 3;888122;0;Sos Del Rey Catolico;Zaragoza;Plaza de la Villa 1, 3;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-SOS0039-;-;-;;;;mon;doc;esq
40;ALTA;OCA Sos del Rey Catolico;C/ Sor Saturnina Tobar s/n, bajo (Frente Central Telefonica);948888534;0;Sos Del Rey Catolico;Zaragoza;OCA;ADMINISTRACIÓN;ZARAGOZA;gigADSL;-;-;;;;VPN IP (ADSL 2+);"31680003006197
948888435";20Mb;;;;Instalada;ZASOS0040OCA;A;OCA;ES. REMOTO;12X5;"""ZASOS0040 - OCA [Sos Del Rey Catolico]""";mon;doc;esq
41;ALTA;Carretera de Borja-El Buste s/n, Bajo (Albergue);Ctra. de Borja-El Buste s/n, bajo (Albergue);867844;0;Santuario de Misericordia;Zaragoza;Carretera de Borja-El Buste s/n, Bajo (Albergue);ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-SAN0041-;-;-;;;;mon;doc;esq
42;ALTA;Plaza de España 12, Bajos;Plaza de España 12, bajos;606166;0;Ricla;Zaragoza;Plaza de España 12, Bajos;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-RIC0042-;-;-;;;;mon;doc;esq
43;ALTA;Camino la Alfranca s/n, Bajos;Camino la Alfranca s/n, bajos;107072;0;La Puebla de Alfinden;Zaragoza;Camino la Alfranca s/n, Bajos;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-LA 0043-;-;-;;;;mon;doc;esq
44;ALTA;Agencia Comarcal;C/ Ramon y Cajal 26;165525;0;Pina;Zaragoza;Agencia Comarcal;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-PIN0044-;-;-;;;;mon;doc;esq
