CODIGO INMUEBLE;ESTADO;NOMBRE SEDE;DIRECCIÓN SEDE;TELÉFONO FIJO;TELÉFONO MÓVIL;POBLACIÓN;PROVINCIA;ACTIVIDAD;AMBITO;ÁREA;"ENLACE PRAL
AMT 2012";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2012";"ADM
BACKUP";BW BACKUP;"ENLACE PRAL
AMT 2018";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2018";"ADM
BACKUP";BW BACKUP;MIGRACIÓN;CODIGO HOSTNAME;AMBITO;NEMONICO;CRITICIDAD SERVICIO;DISP.;CARPETA;MON.;DOC.;ESQ.
1518;ALTA;Juzgado de Ejea Caballeros;C/ Independencia, 23;976660301;0;Ejea de los Caballeros;Zaragoza;Juzgado;JUSTICIA;;MACROLAN (FIBRA OPTICA);-;40Mb / 40Mb;VPN-IP (ADSL);-;4Mb / 640Kb 50%;VPN IP (ADSL 2+);"50690003002872
976677237";Hasta 10 Mb;;;;Instalada;ZJEJE1518JUZ;J;JUZ;ES. REMOTO;12X5;"""ZJEJE1518 - Juzgado [Ejea de los Caballeros]""";mon;doc;esq
1519;ALTA;Juzgado de Tarazona;Avda. de la Paz;976640535;0;Tarazona;Zaragoza;Juzgado;JUSTICIA;;MACROLAN (FIBRA OPTICA);-;20Mb / 20Mb;VPN-IP (ADSL);-;4Mb / 640Kb 50%;MACROLAN;"50750001001358
720329236";100 Mb;;;;Instalada;ZJTAR1519JUZ;J;JUZ;ES. REMOTO;12X5;"""ZJTAR1519 - Juzgado [Tarazona]""";mon;doc;esq
1520;ALTA;Juzgado Menores C/ Lagasca;C/ Lagasca, 7;0;0;Zaragoza;Zaragoza;Juzgado Menores C/ Lagasca;JUSTICIA;;;;;;;;;;;;;;;Z-ZAR1520-;-;-;;;;mon;doc;esq
1521;ALTA;Juzgado de Huesca;Avda. Santo Grial, 2;0;0;Huesca;Huesca;Juzgado;JUSTICIA;;;;;;;;;;;;;;;H-HUE1521-;-;-;;;;mon;doc;esq
1522;ALTA;Juzgado C/ Alfonso;C/ Alfonso I, 17;0;0;Zaragoza;Zaragoza;Juzgado C/ Alfonso;JUSTICIA;;;;;;;;;;;;;;;Z-ZAR1522-;-;-;;;;mon;doc;esq
1523;ALTA;Ciudad de la Justicia;Avda. Ranillas, 89-97;976208100;0;Zaragoza;Zaragoza;Ciudad de la Justicia;JUSTICIA;;;;;;;;;;;;;;;ZJZAR1523EXP;J;EXP;ESTANDAR;24x7;"""ZJZAR1523 - Ciudad de la Justicia [Zaragoza]""";mon;doc;esq
1524;ALTA;Palacio de Justicia - Huesca;C/ Calatayud;974293040;0;Huesca;Huesca;Palacio de Justicia;JUSTICIA;;FIBRA;22100001013208 ;100 Mb;8Mb / 640Kb (50%);974234995 ;ADSL;FIBRA;974234995 ;1 Gb;"F.O. Transporte Transparente
Diversificada Pral.";974234995 ;100 Mb;;HJHUE1524PAL;J;PAL;ESTANDAR;24x7;"""HJHUE1524 - Palacio de Justicia [Huesca]""";mon;doc;esq
1600;ALTA;Campus Universidad Zaragoza (San Francisco)(Matematicas);C/ Pedro Cerbuna, 12;0;0;Zaragoza;Zaragoza;Campus Univ. San Francisco;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1600UZ;-;UZ;;24x7;;mon;doc;esq
1601;ALTA;Ayto. Teruel;Plaza de la Catedral, 1;0;0;Teruel;Teruel;Ayto.;EXTERNO;;;;;;;;;;;;;;;T-TER1601-;-;-;;;;mon;doc;esq
1602;ALTA;Cortes de Aragon;C/ Diputados;0;0;Zaragoza;Zaragoza;Cortes de Aragon;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1602ATV;-;ATV;;;;mon;doc;esq
1603;ALTA;Ayto. Zaragoza;Plaza Nuestra Señora del Pilar, 18;0;0;Zaragoza;Zaragoza;Ayto.;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1603-;-;-;;;;mon;doc;esq
1605;ALTA;Parque Tecnologico Walqa;Ctra. Zaragoza, 0, Km, 566;0;0;Huesca;Huesca;Parque Tecnologico Walqa;EXTERNO;;;;;;;;;;;;;;;H-HUE1605-;-;-;;;;mon;doc;esq
1606;ALTA;Centro Politecnico Superior;C/ Maria de Luna, 3;0;0;Zaragoza;Zaragoza;Centro Politecnico Superior;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1606CPS;-;CPS;;;;mon;doc;esq
1607;ALTA;Escuela Universitaria Politecnica de la Almunia de Dª Godina (Centro Adscrito);C/ Mayor, s/n;0;0;La Almunia de Doña Godina;Zaragoza;Escuela Universitaria Politecnica de la Almunia de Dª Godina (Centro Adscrito);EXTERNO;;MACROLAN (FIBRA OPTICA);-;20Mb / 20Mb;;;;MACROLAN;"50630001001679
720329086";100MB;;;;Instalada;Z-LA 1607-;-;-;;;;mon;doc;esq
1608;ALTA;Vicerrectorado de Huesca;Ronda de Misericordia, 5;0;0;Huesca;Huesca;Vicerrectorado;EDUCACIÓN;RIA;FIBRA;;100 Mb;;;;FIBRA;;1 Gb;-;;-;Instalada;HRHUE1608UZ;R;UZ;;;"""HRHUE1608 - Vicerrectorado [Huesca]""";mon;doc;esq
1609;ALTA;Escuela Universitaria Politecnica de Teruel;C/ Ciudad Escolar s/n;0;0;Teruel;Teruel;Escuela Universitaria Politecnica de Teruel;EXTERNO;;;;;;;;;;;;;;;T-TER1609UZ;-;UZ;;;;mon;doc;esq
1610;ALTA;Uned Teruel;C/ Atarazana s/n;0;0;Teruel;Teruel;Uned Teruel;EDUCACIÓN;RIA;FIBRA;44100001011439 ;100 Mb;;;;FIBRA;;1 Gb;;;;Instalada;T-TER1610UN;-;UN;;;;mon;doc;esq
1611;ALTA;Esda Escuela Superior de Diseño de Aragon;C/ Marìa Zambrano, 3;0;0;Zaragoza;Zaragoza;Escuela Superior de Diseño de Aragon;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1611UZ;-;UZ;;;;mon;doc;esq
1612;ALTA;Lsc Laboratorio Subterraneo del Canfranc;Paseo de los Ayerbe s/n;0;0;Canfranc Estacion;Huesca;Lsc Laboratorio Subterraneo del Canfranc;EXTERNO;;;;;;;;;;;;;;;H-CAN1612-;-;-;;;;mon;doc;esq
1613;ALTA;UNED Calatayud;Avda. San Juan El Real 1;0;0;Calatayud;Zaragoza;UNED Calatayud;EXTERNO;;MACROLAN (FIBRA OPTICA);-;30Mb / 30Mb;;;;MACROLAN;"50650001004740
720344154";100 Mb;;;;Instalada;Z-CAL1613-;-;-;;;;mon;doc;esq
1614;ALTA;UNED Barbastro;C/ Argensola 60;0;0;Barbastro;Huesca;UNED Barbastro;EXTERNO;;MACROLAN (FIBRA OPTICA);-;20Mb / 20Mb;;;;MACROLAN;"22630001002459
720344155";100 Mb;;;;Instalada;H-BAR1614-;-;-;;;;mon;doc;esq
1616;ALTA;Escuela de Arte Zaragoza;C/ Maria Zambrano, 5;0;0;Zaragoza;Zaragoza;Escuela de Arte;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1616-;-;-;;;;mon;doc;esq
1617;ALTA;Pabellon Principe Felipe;Avda. Cesareo Alierta , 120;0;0;Zaragoza;Zaragoza;Pabellon Principe Felipe;EXTERNO;CARTV;FIBRA;50190001234252 ;;;;;FIBRA;;1 Gb;;;;Instalada;Z-ZAR1617ATV;-;ATV;;;;mon;doc;esq
1618;ALTA;Estadio de Futbol la Romareda;C/ Eduardo Ibarra, 6;0;0;Zaragoza;Zaragoza;Estadio de Futbol la Romareda;EXTERNO;CARTV;;;;;;;;;;;;;;Z-ZAR1618ATV;-;ATV;;;;mon;doc;esq
1619;ALTA;Direccion General de Trafico;Via Universitas, 4;0;0;Zaragoza;Zaragoza;Direccion General de Trafico;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1619ATV;-;ATV;;;;mon;doc;esq
1620;ALTA;La Ciudad del Motor de Aragon S.A.;Plaza Dean, 2;0;0;Alcañiz;Teruel;La Ciudad del Motor de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;T-ALC1620-;-;-;;;;mon;doc;esq
1621;ALTA;Fundacion Moto Engineering Foundation;Technopark Motorland;0;0;Alcañiz;Teruel;Fundacion Moto Engineering Foundation;EXTERNO;;;;;;;;;;;;;;;T-ALC1621-;-;-;;;;mon;doc;esq
1622;ALTA;Parque Tecnologico del Motor;C/ Alejandre, 23;0;0;Alcañiz;Teruel;Parque Tecnologico del Motor;EXTERNO;;;;;;;;;;;;;;;T-ALC1622-;-;-;;;;mon;doc;esq
1623;ALTA;ARAMON Montañas de Aragon S.A.;Acceso Al Telesilla, s/n. Planta Baja;0;0;Cerler;Huesca;ARAMON Montañas de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;H-CER1623-;-;-;;;;mon;doc;esq
1624;ALTA;ARAMON Montañas de Aragon S.A.;Acceso Al Telesilla, s/n. Planta Baja;0;0;Panticosa;Huesca;ARAMON Montañas de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;H-PAN1624-;-;-;;;;mon;doc;esq
1625;ALTA;ARAMON Montañas de Aragon S.A.;C/ Francia;0;0;Benasque;Huesca;ARAMON Montañas de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;H-BEN1625-;-;-;;;;mon;doc;esq
1626;ALTA;ARAMON Montañas de Aragon S.A.;Cerro de Javalambre, 1. Planta Baja;0;0;Camarena de La Sierra;Teruel;ARAMON Montañas de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;T-CAM1626-;-;-;;;;mon;doc;esq
1627;ALTA;ARAMON Montañas de Aragon S.A.;Parque Tecnologico Walqa, 2. Planta Baja;0;0;Huesca;Huesca;ARAMON Montañas de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;H-HUE1627-;-;-;;;;mon;doc;esq
1628;ALTA;ARAMON Montañas de Aragon S.A.;Urbanizacion Formigal;0;0;Formigal;Huesca;ARAMON Montañas de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;H-FOR1628-;-;-;;;;mon;doc;esq
1629;ALTA;Plataforma Logistica de Zaragoza Plaza S;C/ Bari, 25;0;0;Garrapinillos;Zaragoza;Plataforma Logistica Plaza;EXTERNO;;;;;;;;;;;;;;;Z-GAR1629-;-;-;;;;mon;doc;esq
1630;ALTA;CEEI ARAGON ;C/ Maria de Luna, 11;0;0;Zaragoza;Zaragoza;CEEI ARAGON;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1630-;-;-;;;;mon;doc;esq
1631;ALTA;CEEI ARAGON ;C/ Zaragoza, s/n;0;0;Huesca;Huesca;CEEI ARAGON;EXTERNO;;;;;;;;;;;;;;;H-HUE1631-;-;-;;;;mon;doc;esq
1632;ALTA;CEEI ARAGON ;Avda. Sagunto, 116;0;0;Teruel;Teruel;CEEI ARAGON;EXTERNO;;;;;;;;;;;;;;;T-TER1632-;-;-;;;;mon;doc;esq
1633;ALTA;ARAMON Montañas de Aragon S.A.;Avda. America, 18. Planta Baja;0;0;Teruel;Teruel;ARAMON Montañas de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;T-TER1633-;-;-;;;;mon;doc;esq
1634;ALTA;CEFCA;Plaza San Juan, 1;0;0;Teruel;Teruel;CEFCA;EXTERNO;;;;;;;;;;;;;;;T-TER1634CEF;-;CEF;;;;mon;doc;esq
1635;ALTA;CEEI ARAGON;C/ Zaragoza, s/n;0;0;Teruel;Teruel;CEEI ARAGON;EXTERNO;;;;;;;;;;;;;;;T-TER1635-;-;-;;;;mon;doc;esq
1636;ALTA;Fundacion Conjunto Paleontologico de Teruel ;C/ Sagunto, s/n;0;0;Teruel;Teruel;Fundacion Conjunto Paleontologico de Teruel;EXTERNO;;;;;;;;;;;;;;;T-TER1636-;-;-;;;;mon;doc;esq
1637;ALTA;Sociedad Gestora Conjunto Paleontolocito de Teruel;C/ Sagunto, s/n;0;0;Teruel;Teruel;Sociedad Gestora Conjunto Paleontolocito de Teruel;EXTERNO;;;;;;;;;;;;;;;T-TER1637-;-;-;;;;mon;doc;esq
1638;ALTA;Sociedad Gestora Conjunto Paleontolocito de Teruel;C/ Los Llanos, 1;0;0;Teruel;Teruel;Sociedad Gestora Conjunto Paleontolocito de Teruel;EXTERNO;;;;;;;;;;;;;;;T-TER1638-;-;-;;;;mon;doc;esq
1639;ALTA;EscuelaTaller de Restauracion Paleontologica;Dinopolis;0;0;Teruel;Teruel;EscuelaTaller de Restauracion Paleontologica;EXTERNO;;;;;;;;;;;;;;;T-TER1639-;-;-;;;;mon;doc;esq
1640;ALTA;SARGA Teruel;C/ Agustina de Aragon, 47;0;0;Teruel;Teruel;SARGA Teruel;EXTERNO;;;;;;;;;;;;;;;T-TER1640-;-;-;;;;mon;doc;esq
1641;ALTA;SARGA. Nave Teruel;C/ Londres, Parcela 256, Poligono Industrial la Paz;0;0;Teruel;Teruel;SARGA. Nave Teruel;EXTERNO;;;;;;;;;;;;;;;T-TER1641-;-;-;;;;mon;doc;esq
1642;ALTA;SARGA. Huesca;Paseo Autonomias, 9. Edf. Castilla - bajos, Poligono 25;0;0;Huesca;Huesca;SARGA. Huesca;EXTERNO;;;;;;;;;;;;;;;H-HUE1642-;-;-;;;;mon;doc;esq
1643;ALTA;SARGA. Nave Huesca;Ronda Industrial, 71. Poligono Industrial Monzu;0;0;Huesca;Huesca;SARGA. Nave Huesca;EXTERNO;;;;;;;;;;;;;;;H-HUE1643-;-;-;;;;mon;doc;esq
1644;ALTA;"Centro de Dia ""Casa Aisa""";C/ Forment, 13;0;0;Huesca;Huesca;"Centro de Dia ""Casa Aisa""";EXTERNO;;;;;;;;;;;;;;;H-HUE1644-;-;-;;;;mon;doc;esq
1645;ALTA;Aragon Exterior S.A.;Avda. Pablo Ruiz Picasso, 63 A. 2º A;0;0;Zaragoza;Zaragoza;Aragon Exterior S.A.;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1645-;-;-;;;;mon;doc;esq
1646;ALTA;Aeronautica de los Pirineos S.A.;Avda. Cesar Augusto, 25 Bjs.;0;0;Zaragoza;Zaragoza;Aeronautica de los Pirineos S.A.;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1646-;-;-;;;;mon;doc;esq
1647;ALTA;ARAMON (EMPRESA PUBLICA DGA);C/ Madre Rafols , 2 Edif. Aida;0;0;Zaragoza;Zaragoza;ARAMON (EMPRESA PUBLICA DGA);EXTERNO;;;;;;;;;;;;;;;Z-ZAR1647-;-;-;;;;mon;doc;esq
1648;ALTA;ARAMON Montañas de Aragon S.A.;Plaza Aragon, 1. Principal;0;0;Zaragoza;Zaragoza;ARAMON Montañas de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1648-;-;-;;;;mon;doc;esq
1649;ALTA;ARAMON Montañas de Aragon S.A.;C/ Virgen del Buen Acuerdo, 5.;0;0;Zaragoza;Zaragoza;ARAMON Montañas de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1649-;-;-;;;;mon;doc;esq
1650;ALTA;ARAMON Montañas de Aragon S.A.;C/ Puerta Norte, 10. Planta Baja;0;0;Zaragoza;Zaragoza;ARAMON Montañas de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1650-;-;-;;;;mon;doc;esq
1651;ALTA;Avalia Aragon S.G.R. ;C/ Coso, 33;0;0;Zaragoza;Zaragoza;Avalia Aragon S.G.R.;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1651-;-;-;;;;mon;doc;esq
1652;ALTA;Suelo y vivienda de Aragon S.L.;Avda. Diagonal Plaza, 30;0;0;Zaragoza;Zaragoza;Suelo y vivienda de Aragon S.L.;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1652-;-;-;;;;mon;doc;esq
1653;ALTA;Local del Instituto Aragones de Suelo y Vivienda;C/ Isabel de Santo Domingo, 6;0;0;Zaragoza;Zaragoza;Local del Instituto Aragones de Suelo y Vivienda;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1653-;-;-;;;;mon;doc;esq
1654;ALTA;Centro Dramatico de Aragon S.A.U.;Paseo Independencia, 14. Planta 5;0;0;Zaragoza;Zaragoza;Centro Dramatico de Aragon S.A.U.;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1654-;-;-;;;;mon;doc;esq
1655;ALTA;Empresa IASoft Aragon;Paseo Isabel la Catolica, 6;0;0;Zaragoza;Zaragoza;Empresa IASoft Aragon;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1655-;-;-;;;;mon;doc;esq
1656;ALTA;Hospital MAZ;Avda. Academia General Militar, 74;0;0;Zaragoza;Zaragoza;Hospital MAZ;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1656-;-;-;;;;mon;doc;esq
1657;ALTA;Sociedad Para el Desarrollo Industrial de Aragon;C/ Alfonso I, 27;0;0;Zaragoza;Zaragoza;Sociedad Para el Desarrollo Industrial de Aragon;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1657-;-;-;;;;mon;doc;esq
1658;ALTA;Sociedad de Promocion y Gestion del Turismo Aragon;Avda. Cesar Augusto, 25;0;0;Zaragoza;Zaragoza;Sociedad de Promocion y Gestion del Turismo Aragon;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1658-;-;-;;;;mon;doc;esq
1659;ALTA;Sociedad de Promocion y Gestion del Turismo Aragon;C/ Diego Jose Dormer, 21;0;0;Zaragoza;Zaragoza;Sociedad de Promocion y Gestion del Turismo Aragon;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1659-;-;-;;;;mon;doc;esq
1660;ALTA;Sociedad de Promocion y Gestion del Turismo Aragon;Avda. Navarra, 80;0;0;Zaragoza;Zaragoza;Sociedad de Promocion y Gestion del Turismo Aragon;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1660-;-;-;;;;mon;doc;esq
1661;ALTA;Sociedad de Promocion y Gestion del Turismo Aragon;Plaza de España, 2;0;0;Zaragoza;Zaragoza;Sociedad de Promocion y Gestion del Turismo Aragon;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1661-;-;-;;;;mon;doc;esq
1662;ALTA;Empresa Mapiser;C/ Alfonso Solans Serrano, 34;0;0;Zaragoza;Zaragoza;Empresa Mapiser;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1662-;-;-;;;;mon;doc;esq
1663;ALTA;Teatro Fleta;Teatro Fleta;0;0;Zaragoza;Zaragoza;Teatro Fleta;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1663-;-;-;;;;mon;doc;esq
1664;ALTA;Gestora Turistica de San Juan de la Peña ;C/ Mayor, 44;0;0;Jaca;Huesca;Gestora Turistica de San Juan de la Peña;EXTERNO;;;;;;;;;;;;;;;H-JAC1664-;-;-;;;;mon;doc;esq
1665;ALTA;Gestora Turistica de San Juan de la Peña ;C/ Unica;0;0;Jaca;Huesca;Gestora Turistica de San Juan de la Peña;EXTERNO;;;;;;;;;;;;;;;H-JAC1665-;-;-;;;;mon;doc;esq
1666;ALTA;SARGA. Alcañiz;Ctra. Escatron. Poligono Industrial la Estacion. nave 2;0;0;Alcañiz;Teruel;SARGA. Alcañiz;EXTERNO;;;;;;;;;;;;;;;T-ALC1666-;-;-;;;;mon;doc;esq
1667;ALTA;Sociedad de Promocion y Gestion del Turismo Aragon;C/ Aeropuerto, s/n;0;0;Garrapinillos;Zaragoza;Sociedad de Promocion y Gestion del Turismo Aragon;EXTERNO;;;;;;;;;;;;;;;Z-GAR1667-;-;-;;;;mon;doc;esq
1668;ALTA;Sociedad de Promocion y Gestion del Turismo Aragon;C/ Ondevilla, 6;0;0;La Iglesuela del Cid;Teruel;Sociedad de Promocion y Gestion del Turismo Aragon;EXTERNO;;;;;;;;;;;;;;;T-LA 1668-;-;-;;;;mon;doc;esq
1669;ALTA;Sociedad de Promocion y Gestion del Turismo Aragon;C/ Sabiñanigo, s/n;0;0;Arguis;Huesca;Sociedad de Promocion y Gestion del Turismo Aragon;EXTERNO;;;;;;;;;;;;;;;H-ARG1669-;-;-;;;;mon;doc;esq
1670;ALTA;ARAMON Montañas de Aragon S.A.;Estacion de Esqui;0;0;Valdelinares;Teruel;ARAMON Montañas de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;T-VAL1670-;-;-;;;;mon;doc;esq
1671;ALTA;Fundacion Tarazona Monumental (Antiguo);Plaza España 8;0;0;Tarazona;Zaragoza;Fundacion Tarazona Monumental;EXTERNO;;;;;;;;;;;;;;;Z-TAR1671-;-;-;;;;mon;doc;esq
1672;ALTA;Sociedad Gestora Conjunto Paleontolocito de Teruel;C/ Molino, s/n;0;0;Galve;Teruel;Sociedad Gestora Conjunto Paleontolocito de Teruel;EXTERNO;;;;;;;;;;;;;;;T-GAL1672-;-;-;;;;mon;doc;esq
1673;ALTA;SARGA Crtuja Baja;Ptr C/ Ozono 85, Parc. C1 10-2;0;0;Cartuja Baja;Zaragoza;SARGA Crtuja Baja;EXTERNO;;;;;;;;;;;;;;;Z-CAR1673-;-;-;;;;mon;doc;esq
1674;ALTA;SARGA Anso;C/ Santa Barbara, 4;0;0;Anso;Huesca;SARGA Anso;EXTERNO;;;;;;;;;;;;;;;H-ANS1674-;-;-;;;;mon;doc;esq
1675;ALTA;SARGA Añon de Moncayo;C/ Tarazona, 1-2;0;0;Añon de Moncayo;Zaragoza;SARGA Añon de Moncayo;EXTERNO;;;;;;;;;;;;;;;Z-AÑO1675-;-;-;;;;mon;doc;esq
1676;ALTA;SARGA Perales de Alfambra;Poligono Agroindustrial El Peiron, Sn;0;0;Perales del Alfambra;Teruel;SARGA Perales de Alfambra;EXTERNO;;;;;;;;;;;;;;;T-PER1676-;-;-;;;;mon;doc;esq
1677;ALTA;SARGA Gallocanta;Ctra. Calamocha. Bello - Gallocanta;0;0;Bello;Teruel;SARGA Gallocanta;EXTERNO;;;;;;;;;;;;;;;T-BEL1677-;-;-;;;;mon;doc;esq
1678;ALTA;SARGA Tamarite de Litera;Ctra. Nacional, 240. Km 121.800;0;0;Tamarite de Litera;Teruel;SARGA Tamarite de Litera;EXTERNO;;;;;;;;;;;;;;;T-TAM1678-;-;-;;;;mon;doc;esq
1679;ALTA;SARGA Albarracin;C/ Portal de Molina, 16;0;0;Albarracin;Teruel;SARGA Albarracin;EXTERNO;;;;;;;;;;;;;;;T-ALB1679-;-;-;;;;mon;doc;esq
1680;ALTA;SARGA Bierge;Ctra. de Rodellar, s/n;0;0;Bierge;Huesca;SARGA Bierge;EXTERNO;;;;;;;;;;;;;;;H-BIE1680-;-;-;;;;mon;doc;esq
1681;ALTA;SARGA Bello;C/ Mosen Andres Vicente, 16;0;0;Bello;Teruel;SARGA Bello;EXTERNO;;;;;;;;;;;;;;;T-BEL1681-;-;-;;;;mon;doc;esq
1682;ALTA;SARGA. Nave Tauste;C/ Palafox, 25;0;0;Tauste;Zaragoza;SARGA. Nave Tauste;EXTERNO;;;;;;;;;;;;;;;Z-TAU1682-;-;-;;;;mon;doc;esq
1683;ALTA;Sociedad Gestora Conjunto Paleontolocito de Teruel;C/ Nogueruelas, s/n;0;0;Rubielos de Mora;Teruel;Sociedad Gestora Conjunto Paleontolocito de Teruel;EXTERNO;;;;;;;;;;;;;;;T-RUB1683-;-;-;;;;mon;doc;esq
1684;ALTA;Sociedad Gestora Conjunto Paleontolocito de Teruel;C/ Las Escuelas, s/n;0;0;Peñarroya de Tastavins;Teruel;Sociedad Gestora Conjunto Paleontolocito de Teruel;EXTERNO;;;;;;;;;;;;;;;T-PEÑ1684-;-;-;;;;mon;doc;esq
1685;ALTA;IPE Jaca;Av. Nuestra Señora de la Victoria S/N;0;0;Jaca;Huesca;IPE Jaca;EXTERNO;;;;;;;;;;;;;;;H-JAC1685-;-;-;;;;mon;doc;esq
1686;ALTA;Residencia Universidad de Zaragoza;C/ Universidad, 3;0;0;Jaca;Huesca;Residencia Universidad de Zaragoza;EXTERNO;;;;;;;;;;;;;;;H-JAC1686-;-;-;;;;mon;doc;esq
1687;ALTA;I3A (Walqa)(Universidad);Pt. Walqa. Ctra. Zaragoza-Huesca N-330a, Km 566;0;0;Huesca;Huesca;I3A (Walqa)(Universidad);EXTERNO;;;;;;;;;;;;;;;H-HUE1687-;-;-;;;;mon;doc;esq
1688;ALTA;La Ciudad del Motor de Aragon S.A.;Ciudad del Motor , Circuito Velocidad Bajo;0;0;Alcañiz;Teruel;La Ciudad del Motor de Aragon S.A.;EXTERNO;;;;;;;;;;;;;;;T-ALC1688-;-;-;;;;mon;doc;esq
1689;ALTA;Agencia Tributaria Huesca;Pl. Navarra, 11;0;0;Huesca;Huesca;Agencia Tributaria;EXTERNO;;;;;;;;;;;;;;;H-HUE1689-;-;-;;;;mon;doc;esq
1690;ALTA;Nuevo Centro de Emprendedores;Poligono Industrial Riols, c/ Uunica (Parcela 8);0;0;Mequinenza;Zaragoza;Nuevo Centro de Emprendedores;EXTERNO;;;;;;;;;;;;;;;Z-MEQ1690-;-;-;;;;mon;doc;esq
1691;ALTA;Hospederia de Aragon;C/ Grande, s/n;0;0;Allepuz;Teruel;Hospederia de Aragon;EXTERNO;;;;;;;;;;;;;;;T-ALL1691-;-;-;;;;mon;doc;esq
1692;ALTA;Escuela Politecnica de Huesca;Crta. de Cuarte, s/n;0;0;Huesca;Huesca;Escuela Politecnica de Huesca;EXTERNO;;;;;;;;;;;;;;;H-HUE1692-;-;-;;;;mon;doc;esq
1693;ALTA;Fundacion Tarazona Monumental;C/ Fueros de Aragon, 32 Bajo;0;0;Tarazona;Zaragoza;Fundacion Tarazona Monumental;EXTERNO;;;;;;;;;;;;;;;Z-TAR1693-;-;-;;;;mon;doc;esq
1694;ALTA;Camara de Cuentas de Aragon;C/ Jerusalem, 4,;0;0;Zaragoza;Zaragoza;Camara de Cuentas de Aragon;EXTERNO;;;;;;;;;;;;;;;Z-ZAR1694-;-;-;;;;mon;doc;esq
1695;ALTA;Avalia Aragon S.G.R. ;Avda.Martinez de Velasco, 36;0;0;Huesca;Huesca;Escuela de Enfermeria;EXTERNO;;;;;;;;;;;;;;;H-HUE1695ENF;-;ENF;;;;mon;doc;esq
1700;ALTA;ZTV;Paseo Cuellar, 24;0;0;Zaragoza;Zaragoza;ZTV;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR1700-;-;-;;;;mon;doc;esq
1702;ALTA;RTVE;Espacio Expo.Av Ranillas 5;0;0;Zaragoza;Zaragoza;RTVE;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR1702TVE;-;TVE;;;;mon;doc;esq
1751;ALTA;Zaragoza Logistic Center (ZLC);Espacio Expo.Av Ranillas;0;0;Zaragoza;Zaragoza;ZLC;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR1751-;-;-;;;;mon;doc;esq
1754;ALTA;CARTV Huesca;0;0;0;Huesca;Huesca;CARTV;EXTERNO;CARTV;;FOGA;;;;;FIBRA;;1 Gb;;;;Solicitar Baja Sede;H-HUE1754ATV;-;ATV;;;;mon;doc;esq
1900;ALTA;I.A.S.S. - Seccion de Tutelas y Reforma de la Direccion Provincial;C/ Barbastro, 3. 1º;0;0;Huesca;Huesca;I.A.S.S. - Seccion de Tutelas y Reforma de la Direccion Provincial;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-HUE1900-;-;-;;;;mon;doc;esq
1901;ALTA;Instituto Aragones DEL AGUA (Antiguo);C/ Capitan Portoles 1-3-5 Pl.8;0;0;Zaragoza;Zaragoza;Instituto Aragones DEL AGUA (Antiguo);ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR1901-;-;-;;;;mon;doc;esq
